employee_id,desk_code,date,department
E-001,D-01,2024-01-02,Sales
E-001,D-01,2024-01-04,Sales
E-001,D-01,2024-01-06,Sales
E-001,D-01,2024-01-08,Sales
E-001,D-01,2024-01-09,Sales
E-001,D-01,2024-01-13,Sales
E-001,D-01,2024-01-14,Sales
E-001,D-01,2024-01-16,Sales
E-001,D-01,2024-01-17,Sales
E-001,D-01,2024-01-18,Sales
E-001,D-01,2024-01-19,Sales
E-001,D-01,2024-01-21,Sales
E-001,D-01,2024-01-23,Sales
E-001,D-01,2024-01-24,Sales
E-001,D-01,2024-01-26,Sales
E-001,D-01,2024-01-27,Sales
E-001,D-01,2024-01-29,Sales
E-001,D-01,2024-01-30,Sales
E-001,D-01,2024-01-31,Sales
E-001,D-01,2024-02-01,Sales
E-001,D-01,2024-02-03,Sales
E-001,D-01,2024-02-04,Sales
E-001,D-01,2024-02-06,Sales
E-001,D-01,2024-02-09,Sales
E-001,D-01,2024-02-10,Sales
E-001,D-01,2024-02-12,Sales
E-001,D-01,2024-02-13,Sales
E-001,D-01,2024-02-14,Sales
E-001,D-01,2024-02-15,Sales
E-001,D-01,2024-02-17,Sales
E-001,D-01,2024-02-19,Sales
E-001,D-01,2024-02-23,Sales
E-001,D-01,2024-02-24,Sales
E-001,D-01,2024-02-25,Sales
E-001,D-01,2024-02-26,Sales
E-001,D-01,2024-02-29,Sales
E-001,D-01,2024-03-01,Sales
E-001,D-01,2024-03-03,Sales
E-001,D-01,2024-03-04,Sales
E-001,D-01,2024-03-05,Sales
E-001,D-01,2024-03-06,Sales
E-001,D-01,2024-03-07,Sales
E-001,D-01,2024-03-08,Sales
E-001,D-01,2024-03-09,Sales
E-001,D-01,2024-03-13,Sales
E-001,D-01,2024-03-16,Sales
E-001,D-01,2024-03-18,Sales
E-001,D-01,2024-03-20,Sales
E-001,D-01,2024-03-21,Sales
E-001,D-01,2024-03-23,Sales
E-001,D-01,2024-03-25,Sales
E-001,D-01,2024-03-26,Sales
E-001,D-01,2024-03-27,Sales
E-001,D-01,2024-03-30,Sales
E-001,D-01,2024-03-31,Sales
E-001,D-01,2024-04-01,Sales
E-001,D-01,2024-04-03,Sales
E-001,D-01,2024-04-07,Sales
E-001,D-01,2024-04-08,Sales
E-001,D-01,2024-04-10,Sales
E-001,D-01,2024-04-11,Sales
E-001,D-01,2024-04-12,Sales
E-001,D-01,2024-04-13,Sales
E-001,D-01,2024-04-16,Sales
E-001,D-01,2024-04-19,Sales
E-001,D-01,2024-04-20,Sales
E-001,D-01,2024-04-21,Sales
E-001,D-01,2024-04-24,Sales
E-001,D-01,2024-04-27,Sales
E-001,D-01,2024-04-28,Sales
E-001,D-01,2024-04-29,Sales
E-001,D-01,2024-04-30,Sales
E-001,D-01,2024-05-01,Sales
E-001,D-01,2024-05-02,Sales
E-001,D-01,2024-05-03,Sales
E-001,D-01,2024-05-04,Sales
E-001,D-01,2024-05-05,Sales
E-001,D-01,2024-05-08,Sales
E-001,D-01,2024-05-09,Sales
E-001,D-01,2024-05-10,Sales
E-001,D-01,2024-05-11,Sales
E-001,D-01,2024-05-13,Sales
E-001,D-01,2024-05-15,Sales
E-001,D-01,2024-05-17,Sales
E-001,D-01,2024-05-19,Sales
E-001,D-01,2024-05-21,Sales
E-001,D-01,2024-05-22,Sales
E-001,D-01,2024-05-23,Sales
E-001,D-01,2024-05-24,Sales
E-001,D-01,2024-05-26,Sales
E-001,D-01,2024-06-03,Sales
E-001,D-01,2024-06-04,Sales
E-001,D-01,2024-06-05,Sales
E-001,D-01,2024-06-08,Sales
E-001,D-01,2024-06-09,Sales
E-001,D-01,2024-06-10,Sales
E-001,D-01,2024-06-11,Sales
E-001,D-01,2024-06-13,Sales
E-001,D-01,2024-06-16,Sales
E-001,D-01,2024-06-18,Sales
E-001,D-01,2024-06-19,Sales
E-001,D-01,2024-06-21,Sales
E-001,D-01,2024-06-23,Sales
E-001,D-01,2024-06-24,Sales
E-001,D-01,2024-06-25,Sales
E-001,D-01,2024-06-27,Sales
E-001,D-01,2024-07-01,Sales
E-001,D-01,2024-07-02,Sales
E-001,D-01,2024-07-04,Sales
E-001,D-01,2024-07-05,Sales
E-001,D-01,2024-07-06,Sales
E-001,D-01,2024-07-08,Sales
E-001,D-01,2024-07-09,Sales
E-001,D-01,2024-07-11,Sales
E-001,D-01,2024-07-12,Sales
E-001,D-01,2024-07-14,Sales
E-001,D-01,2024-07-15,Sales
E-001,D-01,2024-07-16,Sales
E-001,D-01,2024-07-19,Sales
E-001,D-01,2024-07-20,Sales
E-001,D-01,2024-07-21,Sales
E-001,D-01,2024-07-23,Sales
E-001,D-01,2024-07-30,Sales
E-001,D-01,2024-08-03,Sales
E-001,D-01,2024-08-04,Sales
E-001,D-01,2024-08-06,Sales
E-001,D-01,2024-08-08,Sales
E-001,D-01,2024-08-09,Sales
E-001,D-01,2024-08-13,Sales
E-001,D-01,2024-08-15,Sales
E-001,D-01,2024-08-17,Sales
E-001,D-01,2024-08-20,Sales
E-001,D-01,2024-08-21,Sales
E-001,D-01,2024-08-27,Sales
E-001,D-01,2024-08-29,Sales
E-001,D-01,2024-08-31,Sales
E-001,D-01,2024-09-02,Sales
E-001,D-01,2024-09-04,Sales
E-001,D-01,2024-09-05,Sales
E-001,D-01,2024-09-06,Sales
E-001,D-01,2024-09-11,Sales
E-001,D-01,2024-09-12,Sales
E-001,D-01,2024-09-14,Sales
E-001,D-01,2024-09-15,Sales
E-001,D-01,2024-09-18,Sales
E-001,D-01,2024-09-19,Sales
E-001,D-01,2024-09-25,Sales
E-001,D-01,2024-09-26,Sales
E-001,D-01,2024-09-29,Sales
E-001,D-01,2024-09-30,Sales
